name,nameBn,district
Adabor,আদাবর,Dhaka
Badda,বাড্ডা,Dhaka
Banani,বনানী,Dhaka
Cantonment,ক্যান্টনমেন্ট,Dhaka
Demra,ডেমরা,Dhaka
Dhanmondi,ধানমণ্ডি,Dhaka
Gulshan,গুলশান,Dhaka
Hazaribagh,হাজারীবাগ,Dhaka
Jatrabari,যাত্রাবাড়ী,Dhaka
Kafrul,কাফরুল,Dhaka
Khilgaon,খিলগাঁও,Dhaka
Khilkhet,খিলক্ষেত,Dhaka
Lalbagh,লালবাগ,Dhaka
Mirpur,মিরপুর,Dhaka
Mohammadpur,মোহাম্মদপুর,Dhaka
Motijheel,মতিঝিল,Dhaka
Mugda,মুগদা,Dhaka
Pallabi,পল্লবী,Dhaka
Rayer Bazar,রায়ের বাজার,Dhaka
Sabujbagh,সবুজবাগ,Dhaka
Shah Ali,শাহ আলী,Dhaka
Sher-e-Bangla Nagar,শেরে বাংলা নগর,Dhaka
Sutrapur,সূত্রাপুর,Dhaka
Tejgaon,তেজগাঁও,Dhaka
Turag,তুরাগ,Dhaka
Uttara,উত্তরা,Dhaka
Uttarkhan,উত্তরখান,Dhaka
Vatara,ভাটারা,Dhaka
Wari,ওয়ারী,Dhaka
Agrabad,আগ্রাবাদ,Chattogram
Akbar Shah,আকবর শাহ,Chattogram
Bakalia,বাকলিয়া,Chattogram
Bayazid,বায়েজিদ,Chattogram
Chandgaon,চান্দগাঁও,Chattogram
Double Mooring,ডবলমুরিং,Chattogram
Eidgaon,ঈদগাঁও,Chattogram
Halishahar,হালিশহর,Chattogram
Khulshi,খুলশী,Chattogram
Kotwali,কোতোয়ালি,Chattogram
Pahartali,পাহাড়তলী,Chattogram
Panchlaish,পাঁচলাইশ,Chattogram
Patenga,পতেঙ্গা,Chattogram
Ambarkhana,আম্বরখানা,Sylhet
Jalalabad,জালালাবাদ,Sylhet
Mogolgaon,মোগলগাঁও,Sylhet
Osmaninagar,ওসমানীনগর,Sylhet
Shahporan,শাহপরান,Sylhet
South Surma,দক্ষিণ সুরমা,Sylhet
Subid Bazar,সুবিদ বাজার,Sylhet
Tilagor,তিলাগড়,Sylhet
Zindabazar,জিন্দাবাজার,Sylhet
Boalia,বোয়ালিয়া,Rajshahi
Motihar,মতিহার,Rajshahi
Rajpara,রাজপাড়া,Rajshahi
Shah Makhdum,শাহ মখদুম,Rajshahi
Khalishpur,খালিশপুর,Khulna
Khan Jahan Ali,খান জাহান আলী,Khulna
Kotwali,কোতোয়ালি,Khulna
Sonadanga,সোনাডাঙ্গা,Khulna
Airport,এয়ারপোর্ট,Gazipur
Gazipur Sadar,গাজীপুর সদর,Gazipur
Kaliakair,কালিয়াকৈর,Gazipur
Kapasia,কাপাসিয়া,Gazipur
Sreepur,শ্রীপুর,Gazipur
Tongi,টঙ্গী,Gazipur
Araihazar,আড়াইহাজার,Narayanganj
Bandar,বন্দর,Narayanganj
Fatullah,ফতুল্লাহ,Narayanganj
Narayanganj Sadar,নারায়ণগঞ্জ সদর,Narayanganj
Rupganj,রূপগঞ্জ,Narayanganj
Siddhirganj,সিদ্ধিরগঞ্জ,Narayanganj
