name,nameBn,division
Bagerhat,বাগেরহাট,Khulna Division
Bandarban,বান্দরবান,Chattogram Division
Barguna,বরগুনা,Barishal Division
Barishal,বরিশাল,Barishal Division
Bhola,ভোলা,Barishal Division
Bogura,বগুড়া,Rajshahi Division
Brahmanbaria,ব্রাহ্মণবাড়িয়া,Chattogram Division
Chandpur,চাঁদপুর,Chattogram Division
Chattogram,চট্টগ্রাম,Chattogram Division
Chuadanga,চুয়াডাঙ্গা,Khulna Division
Cox's Bazar,কক্সবাজার,Chattogram Division
Cumilla,কুমিল্লা,Chattogram Division
Dhaka,ঢাকা,Dhaka Division
Dinajpur,দিনাজপুর,Rangpur Division
Faridpur,ফরিদপুর,Dhaka Division
Feni,ফেনী,Chattogram Division
Gaibandha,গাইবান্ধা,Rangpur Division
Gazipur,গাজীপুর,Dhaka Division
Gopalganj,গোপালগঞ্জ,Dhaka Division
Habiganj,হবিগঞ্জ,Sylhet Division
Jamalpur,জামালপুর,Mymensingh Division
Jashore,যশোর,Khulna Division
Jhalokati,ঝালকাঠি,Barishal Division
Jhenaidah,ঝিনাইদহ,Khulna Division
Joypurhat,জয়পুরহাট,Rajshahi Division
Khagrachhari,খাগড়াছড়ি,Chattogram Division
Khulna,খুলনা,Khulna Division
Kishoreganj,কিশোরগঞ্জ,Dhaka Division
Kurigram,কুড়িগ্রাম,Rangpur Division
Kushtia,কুষ্টিয়া,Khulna Division
Lakshmipur,লক্ষ্মীপুর,Chattogram Division
Lalmonirhat,লালমনিরহাট,Rangpur Division
Madaripur,মাদারীপুর,Dhaka Division
Magura,মাগুরা,Khulna Division
Manikganj,মানিকগঞ্জ,Dhaka Division
Meherpur,মেহেরপুর,Khulna Division
Moulvibazar,মৌলভীবাজার,Sylhet Division
Munshiganj,মুন্সীগঞ্জ,Dhaka Division
Mymensingh,ময়মনসিংহ,Mymensingh Division
Naogaon,নওগাঁ,Rajshahi Division
Narail,নড়াইল,Khulna Division
Narayanganj,নারায়ণগঞ্জ,Dhaka Division
Narsingdi,নরসিংদী,Dhaka Division
Natore,নাটোর,Rajshahi Division
Chapainawabganj,চাঁপাইনবাবগঞ্জ,Rajshahi Division
Netrokona,নেত্রকোনা,Mymensingh Division
Nilphamari,নীলফামারী,Rangpur Division
Noakhali,নোয়াখালী,Chattogram Division
Pabna,পাবনা,Rajshahi Division
Panchagarh,পঞ্চগড়,Rangpur Division
Patuakhali,পটুয়াখালী,Barishal Division
Pirojpur,পিরোজপুর,Barishal Division
Rajbari,রাজবাড়ী,Dhaka Division
Rajshahi,রাজশাহী,Rajshahi Division
Rangamati,রাঙামাটি,Chattogram Division
Rangpur,রংপুর,Rangpur Division
Satkhira,সাতক্ষীরা,Khulna Division
Shariatpur,শরীয়তপুর,Dhaka Division
Sherpur,শেরপুর,Mymensingh Division
Sirajganj,সিরাজগঞ্জ,Rajshahi Division
Sunamganj,সুনামগঞ্জ,Sylhet Division
Sylhet,সিলেট,Sylhet Division
Tangail,টাঙ্গাইল,Dhaka Division
Thakurgaon,ঠাকুরগাঁও,Rangpur Division
